"survey_abb";"report_num";"topic_abb";"topic_seq";"topic_header";"unit_num";"old_seq";"topic_level";"invalid";"topic_group";"topic_desc"
"CROP";"2";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"2";"RESID";"1";"Residue remaining after planting";"4";"1";"";"False";"";"Level of residue from the previous crop, at time of current crop planting, expressed as a percent of that previous crop's residue"
"CROP";"2";"TRIP";"2";"Number of tillage operations";"15";"2";"";"False";"";"Number of tillage operations"
"CROP";"3";"GNDW";"3";"Ground water source";"47";"3";"";"False";"";"Ground water source , expressed in Percent of irrigated acres"
"CROP";"3";"IRRACRS";"1";"Irrigated acres";"18";"1";"";"False";"";"Irrigated acres , expressed in 1,000 Acres"
"CROP";"3";"IRRWAT";"5";"Water applied per irrigated acre";"25";"5";"";"False";"";"Water applied per irrigated acre , expressed in Inches"
"CROP";"3";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"3";"SRFW";"2";"Surface water source";"47";"2";"";"False";"";"Surface water source , expressed in Percent of irrigated acres"
"CROP";"3";"YIELDT";"4";"Crop yield per irrigated acre";"48";"4";"";"False";"";"Crop yield per irrigated acre , expressed in Pounds(cotton), Bushels(all other crops)"
"CROP";"4";"BTSED";"4";"BT insecticide resistant seed";"26";"";"";"False";"";"BT insecticide resistant seed, expressed in percent of planted acres"
"CROP";"4";"GMOR";"5";"GMO herbicide resistant seed";"26";"";"";"False";"";"GMO herbicide resistant seed, expressed in perccent of planted acres"
"CROP";"4";"NGMOR";"3";"Non-Genetically Modified Herbicide Resistant Seed Used";"26";"";"";"False";"";"Non-Genetically Modified Herbicide Resistant Seed Used , expressed as a percent of planted acres"
"CROP";"4";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"4";"RWIDTH";"2";"Average row width";"25";"2";"";"False";"";"Average row width , expressed in Inches"
"CROP";"4";"SEEDQTY";"1";"Average seeding rate";"23";"1";"";"False";"";"Average seeding rate , expressed in Kernels(corn 2001 and earlier) or pounds(all other crops) per acre"
"CROP";"5";"BDHRB";"5";"Burn down herbicide used";"59";"5";"";"False";"";"Burn down herbicide used , expressed in Percent of treated acres"
"CROP";"5";"CWCACR";"11";"Cultivated for weed control";"26";"";"";"False";"";"Cultivated for weed control , expressed as a percent of planted acres"
"CROP";"5";"CWCACR2";"10";"Cultivated for weed control";"26";"10";"";"False";"";"Cultivated for weed control , expressed as a percent of planted acres"
"CROP";"5";"GMOR";"6";"GMO herbicide resistant seed";"26";"6";"";"False";"";"Genetically-modified herbicide resistant seed , expressed as a percent of planted acres"
"CROP";"5";"HRBAC";"3";"Number of treatments with herbicide";"15";"3";"";"False";"";"Number of treatments with herbicide"
"CROP";"5";"HRBACT";"2";"Acres treated with herbicide";"26";"2";"";"False";"";"Acres treated with herbicide , expressed as a percent of planted acres"
"CROP";"5";"HRBQT";"4";"Treatment rate with herbicide";"20";"4";"";"False";"";"Treatment rate with herbicide , expressed in pounds active ingredient per treated acre"
"CROP";"5";"NGMOR";"7";"Non-Genetically Modified Herbicide Resistant Seed Used";"26";"7";"";"False";"";"Non-Genetically Modified Herbicide Resistant Seed Used , expressed as a percent of planted acres"
"CROP";"5";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"5";"POSTW";"9";"Post-emergence weed control";"26";"9";"";"False";"";"Post-emergence weed control , expressed as a percent of planted acres"
"CROP";"5";"PREW";"8";"Pre-emergence weed control";"26";"8";"";"False";"";"Pre-emergence weed control , expressed as a percent of planted acres"
"CROP";"5";"WDSCT";"1";"Field scouted for weeds";"26";"1";"";"False";"";"Field scouted for weeds , expressed as a percent of planted acres"
"CROP";"6";"BTSED";"5";"BT insecticide resistant seed";"26";"5";"";"False";"";"Bacillus Thuringiensis (Bt) insecticide resistant seed , expressed as a percent of planted acres"
"CROP";"6";"INSAC";"3";"Number of treatments with insecticide";"15";"3";"";"False";"";"Number of treatments with insecticide"
"CROP";"6";"INSACT";"2";"Acres treated with insecticide";"26";"2";"";"False";"";"Acres treated with insecticide , expressed as a percent of planted acres"
"CROP";"6";"INSCT";"1";"Field scouted for insects";"26";"1";"";"False";"";"Field scouted for insects , expressed as a percent of planted acres"
"CROP";"6";"INSDILD";"10";"Operator's determination of infestation level";"26";"10";"";"False";"";"Operator's determination of infestation level , expressed as a percent of planted acres"
"CROP";"6";"INSDLI";"9";"Local information";"26";"9";"";"False";"";"Local information , expressed as a percent of planted acres"
"CROP";"6";"INSDPS";"6";"Preventive schedule decision";"26";"6";"";"False";"";"Preventive schedule decision , expressed as a percent of planted acres"
"CROP";"6";"INSDSD";"7";"Scouting data compared to guidelines";"26";"7";"";"False";"";"Scouting data compared to guidelines , expressed as a percent of planted acres"
"CROP";"6";"INSDSPH";"8";"Standard practice or history";"26";"8";"";"False";"";"Standard practice or history , expressed as a percent of planted acres"
"CROP";"6";"INSQT";"4";"Treatment rate with insecticide";"20";"4";"";"False";"";"Treatment rate with insecticide , expressed in pounds active ingredient per treated acre"
"CROP";"6";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"7";"F309";"1";"Protection of beneficial insects a factor in pesticide decisions";"26";"1";"";"False";"";"Protection of beneficial insects a factor in pesticide decisions , expressed as a percent of planted acres"
"CROP";"7";"F310";"2";"Apply/release beneficial organisms to control pests";"26";"2";"";"False";"";"Apply/release beneficial organisms to control pests , expressed as a percent of planted acres"
"CROP";"7";"F313";"3";"Water management practices to control pests";"26";"3";"";"False";"";"Water management practices to control pests , expressed as a percent of planted acres"
"CROP";"7";"F315";"4";"Tilling, chopping, mowing, burning to control pests";"26";"4";"";"False";"";"Tilling, chopping, mowing, burning to control pests , expressed as a percent of planted acres"
"CROP";"7";"F317";"5";"Clean equipment to reduce spread of pests";"26";"5";"";"False";"";"Clean equipment to reduce spread of pests , expressed as a percent of planted acres"
"CROP";"7";"F319";"6";"Cultivated field for weed control";"26";"6";"";"False";"";"Cultivated field for weed control , expressed as a percent of planted acres"
"CROP";"7";"F328";"7";"Adjust plant/harvest date to control pests";"26";"7";"";"False";"";"Adjust plant/harvest date to control pests , expressed as a percent of planted acres"
"CROP";"7";"F330";"8";"Soil analysis to detect pests";"26";"8";"";"False";"";"Soil analysis to detect pests , expressed as a percent of planted acres"
"CROP";"7";"F331";"9";"Alternate pesticides to prevent pest resistance";"26";"9";"";"False";"";"Alternate pesticides to prevent pest resistance , expressed as a percent of planted acres"
"CROP";"7";"F333";"10";"Adjust row spacing/plant density for pest control";"26";"10";"";"False";"";"Adjust row spacing/plant density for pest control , expressed as a percent of planted acres"
"CROP";"7";"F340";"11";"Biological pest controls used ";"26";"";"";"False";"";""
"CROP";"7";"F556";"12";"Ground covers used";"26";"";"";"False";"";""
"CROP";"7";"F625";"13";"Trap crops used";"26";"";"";"False";"";""
"CROP";"7";"F687";"14";"Diagnostic lab used for pest ID";"26";"";"";"False";"";""
"CROP";"7";"F835";"15";"Buffer strips or other physical barriers used";"26";"";"";"False";"";""
"CROP";"7";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"8";"H13AC";"5";"Benzoate";"27";"5";"";"False";"";"Benzoate , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H13QT";"26";"Benzoate";"20";"26";"";"False";"";"Benzoate , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H14AC";"6";"Benzoic";"27";"6";"";"False";"";"Benzoic , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H14QT";"27";"Benzoic";"20";"27";"";"False";"";"Benzoic , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H15AC";"7";"Benzothiadiazole";"27";"7";"";"False";"";"Benzothiadiazole , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H15QT";"28";"Benzothiadiazole";"20";"28";"";"False";"";"Benzothiadiazole , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H25AC";"8";"Thiocarbamate";"27";"8";"";"False";"";"Thiocarbamate , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H25QT";"29";"Thiocarbamate";"20";"29";"";"False";"";"Thiocarbamate , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H30AC";"9";"Dinitroaniline";"27";"9";"";"False";"";"Dinitroaniline , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H30QT";"30";"Dinitroaniline";"20";"30";"";"False";"";"Dinitroaniline , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H33AC";"10";"Diphenyl ether";"27";"10";"";"False";"";"Diphenyl ether , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H33QT";"31";"Diphenyl ether";"20";"31";"";"False";"";"Diphenyl ether , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H37AC";"11";"Imidazolinone";"27";"11";"";"False";"";"Imidazolinone , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H37QT";"32";"Imidazolinone";"20";"32";"";"False";"";"Imidazolinone , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H3AC";"2";"Amides";"27";"2";"";"False";"";"Amides , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H3QT";"23";"Amides";"20";"23";"";"False";"";"Amides , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H42AC";"12";"Nitrile";"27";"12";"";"False";"";"Nitrile , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H42QT";"33";"Nitrile";"20";"33";"";"False";"";"Nitrile , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H45AC";"13";"Organic arsenical";"27";"13";"";"False";"";"Organic arsenical , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H45QT";"34";"Organic arsenical";"20";"34";"";"False";"";"Organic arsenical , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H49AC";"14";"Oxime";"27";"14";"";"False";"";"Oxime , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H49QT";"35";"Oxime";"20";"35";"";"False";"";"Oxime , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H51AC";"15";"Phenoxy";"27";"15";"";"False";"";"Phenoxy , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H51QT";"36";"Phenoxy";"20";"36";"";"False";"";"Phenoxy , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H53AC";"16";"Phosphinic acid";"27";"16";"";"False";"";"Phosphinic acid , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H53QT";"37";"Phosphinic acid";"20";"37";"";"False";"";"Phosphinic acid , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H58AC";"17";"Pyridine";"27";"17";"";"False";"";"Pyridine , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H58QT";"38";"Pyridine";"20";"38";"";"False";"";"Pyridine , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H65AC";"18";"Sulfonyl Urea";"27";"18";"";"False";"";"Sulfonyl Urea , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H65QT";"39";"Sulfonyl urea";"20";"39";"";"False";"";"Sulfonyl urea , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H70AC";"19";"Triazine";"27";"19";"";"False";"";"Triazine , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H70QT";"41";"Triazine";"20";"41";"";"False";"";"Triazine , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H72AC";"48";"Herbicide AI Code 72";"27";"";"";"False";"";""
"CROP";"8";"H72QT";"49";"Herbicide AI Code 72";"20";"";"";"False";"";""
"CROP";"8";"H74AC";"21";"Urea";"27";"21";"";"False";"";"Urea , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H74QT";"43";"Urea";"20";"43";"";"False";"";"Urea , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H7AC";"3";"Aryl Triazolinone";"27";"3";"";"False";"";"Aryl Triazolinone , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H7QT";"24";"Aryl Triazolinone";"20";"24";"";"False";"";"Aryl Triazolinone , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H8AC";"4";"Aryloxyphenoxy propionic acid";"27";"4";"";"False";"";"Aryloxyphenoxy propionic acid , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H8QT";"25";"Aryloxyphenoxy propionic acid";"20";"25";"";"False";"";"Aryloxyphenoxy propionic acid , expressed in pounds active ingredient per treated acre"
"CROP";"8";"H99AC";"22";"Other herbicides";"27";"22";"";"False";"";"Other herbicides , expressed in Percent of herbicide acre-treatments"
"CROP";"8";"H99QT";"44";"Other herbicides";"20";"44";"";"False";"";"Other herbicides , expressed in pounds active ingredient per treated acre"
"CROP";"8";"HRBAC22";"1";"Herbicide acre-treatments";"18";"1";"";"False";"";"Herbicide acre-treatments , expressed in 1,000 Acres"
"CROP";"8";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"9";"I22AC";"50";"Insecticide AI code 22";"0";"";"";"False";"";""
"CROP";"9";"I22QT";"51";"Insecticide code 22";"0";"";"";"False";"";""
"CROP";"9";"I23AC";"4";"Carbamate,oxime";"27";"4";"";"False";"";"Carbamate,oxime , expressed in Percent of herbicide acre-treatments"
"CROP";"9";"I23QT";"12";"Carbamate, oxime";"20";"12";"";"False";"";"Carbamate, oxime , expressed in pounds active ingredient per treated acre"
"CROP";"9";"I47AC";"7";"Organophosphate";"27";"7";"";"False";"";"Organophosphate , expressed in Percent of herbicide acre-treatments"
"CROP";"9";"I47QT";"15";"Organophosphate";"20";"15";"";"False";"";"Organophosphate , expressed in pounds active ingredient per treated acre"
"CROP";"9";"I56AC";"8";"Pyrethroid";"27";"8";"";"False";"";"Pyrethroid , expressed in Percent of herbicide acre-treatments"
"CROP";"9";"I56QT";"16";"Pyrethroid";"20";"16";"";"False";"";"Pyrethroid , expressed in pounds active ingredient per treated acre"
"CROP";"9";"I99AC";"9";"Other Insecticides";"27";"9";"";"False";"";"Other Insecticides , expressed in Percent of herbicide acre-treatments"
"CROP";"9";"I99QT";"17";"Other insecticides";"20";"17";"";"False";"";"Other insecticides , expressed in pounds active ingredient per treated acre"
"CROP";"9";"INSAC9";"1";"Insecticide acre-treatments";"18";"1";"";"False";"";"Insecticide acre-treatments , expressed in 1,000 Acres"
"CROP";"9";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"10";"CONBUFFP";"13";"Cost-share or incentive received for conservation buffers";"82";"";"4";"False";"";"Cost-share or incentive received for conservation buffers , expressed in percent of acres w/ conservation buffers"
"CROP";"10";"CONSBUFF";"12";"Conservation buffers used";"26";"";"";"False";"";"Conservation buffers used , expressed as a percent of planted acres"
"CROP";"10";"CONSPAY";"1";"Conservation program participation (cost-share/incentive received)";"26";"";"";"False";"";"Conservation program participation (cost-share/incentive received) , expressed as a percent of planted acres"
"CROP";"10";"CRP";"4";"Cost-share or incentive from CRP";"76";"";"4";"False";"";"Cost-share or incentive from Conservation Reserve Program (CRP), expressed in percent of acres receiving payments"
"CROP";"10";"CSP";"3";"Cost-share or incentive from CSP";"76";"";"4";"False";"";"Cost-share or incentive from Conservation Security/Stewardship Program (CSP), expressed in percent of acres receiving payments"
"CROP";"10";"EQIP";"2";"Cost-share or incentive from EQIP";"76";"";"4";"False";"";"Cost-share or incentive from Environmental Quality Incentives Program (EQIP), expressed in percent of acres receiving payments"
"CROP";"10";"EROCTRLP";"9";"Cost-share or incentive received (erosion controls)";"81";"";"4";"False";"";"Cost-share or incentive received (erosion controls) , expressed in percent of acres w/ soil erosion controls"
"CROP";"10";"EROSCTRL";"8";"Soil erosion controls used";"26";"";"";"False";"";"Soil erosion controls used , expressed as a percent of planted acres"
"CROP";"10";"EROSPAY";"7";"Cost-share or incentive received (erosion plan)";"77";"";"4";"False";"";"Cost-share or incentive received (erosion plan) , expressed in percent of acres w/ erosion plan"
"CROP";"10";"EROSPLAN";"6";"Written conservation plan for soil erosion";"26";"";"";"False";"";"Written conservation plan for soil erosion , expressed as a percent of planted acres"
"CROP";"10";"NUTRPAY";"11";"Cost-share or incentive received (nutrient plan)";"78";"";"4";"False";"";"Cost-share or incentive received (nutrient plan) , expressed in percent of acres w/ nutrient plan"
"CROP";"10";"NUTRPLAN";"10";"Written conservation plan for nutrient management";"26";"";"";"False";"";"Written conservation plan for nutrient management , expressed as a percent of planted acres"
"CROP";"10";"OCONS";"20";"Other conservation practices used";"26";"";"";"False";"";"Other conservation practices used , expressed as a percent of planted acres"
"CROP";"10";"OCONSP";"21";"Cost-share or incentive received (other conservation practices)";"84";"";"4";"False";"";"Cost-share or incentive received (other conservation practices) , expressed in percent of acres w/ other conservation practices"
"CROP";"10";"OPAY";"5";"Cost-share or incentive received from other programs";"76";"";"4";"False";"";"Cost-share or incentive received from other programs , expressed in percent of acres receiving payments"
"CROP";"10";"PESTPAY";"15";"Cost-share or incentive received (pest plan)";"79";"";"4";"False";"";"Cost-share or incentive received (pest plan) , expressed in percent of acres w/ pest mgmt plan"
"CROP";"10";"PESTPLAN";"14";"Written conservation plan for pest management";"26";"";"";"False";"";"Written conservation plan for pest management , expressed as a percent of planted acres"
"CROP";"10";"PLACRES";"0";"Planted acres";"18";"";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"10";"TECH";"22";"Received technical assistance for conservation practices";"26";"";"";"False";"";"Received technical assistance for conservation practices , expressed as a percent of planted acres"
"CROP";"10";"WATRPAY";"17";"Cost-share or incentive received (irrigation plan)";"80";"";"4";"False";"";"Cost-share or incentive received (irrigation plan) , expressed in percent of acres w/ water mgmt plan"
"CROP";"10";"WATRPLAN";"16";"Written conservation plan for irrigation management";"26";"";"";"False";"";"Written conservation plan for irrigation management , expressed as a percent of planted acres"
"CROP";"10";"WATRSTR";"18";"Water control structures used";"26";"";"";"False";"";"Water control structures used , expressed as a percent of planted acres"
"CROP";"10";"WATRSTRP";"19";"Cost-share or incentive received (water control structures)";"83";"";"4";"False";"";"Cost-share or incentive received (water control structures) , expressed in percent of acres w/ water control structures"
"CROP";"11";"CHEMMAN";"3";"Treated with chemical fertilizer and manure";"26";"3";"";"False";"";"Treated with chemical fertilizer and manure , expressed as a percent of planted acres"
"CROP";"11";"COMPOST";"14";"Compost applied";"26";"";"";"False";"";""
"CROP";"11";"F219A1";"1";"Manure applied";"26";"1";"";"False";"";"Treated with manure , expressed as a percent of planted acres"
"CROP";"11";"LIME";"2";"Ever treated with lime";"26";"2";"";"False";"";"Ever treated with lime , expressed as a percent of planted acres"
"CROP";"11";"NINHBTR";"4";"Nitrogen inhibitor used";"26";"4";"";"False";"";"Nitrogen inhibitor used , expressed as a percent of planted acres"
"CROP";"11";"NITAC";"8";"Acres treated with N";"26";"8";"";"False";"";"Acres treated with Nitrogen (N) , expressed as a percent of planted acres"
"CROP";"11";"NITLB";"11";"N applied";"49";"11";"";"False";"";"Nitrogen (N) applied , expressed in Pounds per treated acre"
"CROP";"11";"NITTST";"6";"Soil tested for N";"26";"6";"";"False";"";"Soil tested for Nitrogen (N) , expressed as a percent of planted acres"
"CROP";"11";"PHOAC";"9";"Acres treated with P2O5";"26";"9";"";"False";"";"Acres treated with Phosphate (P2O5) , expressed as a percent of planted acres"
"CROP";"11";"PHOLB";"12";"P2O5 applied";"49";"12";"";"False";"";"Phosphate (P2O5) applied , expressed in Pounds per treated acre"
"CROP";"11";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"11";"PLTTSUT";"7";"Plant tissue test used";"26";"7";"";"False";"";"Plant tissue test used , expressed as a percent of planted acres"
"CROP";"11";"POTAC";"10";"Acres treated with K2O";"26";"10";"";"False";"";"Acres treated with Potash (K2O) , expressed as a percent of planted acres"
"CROP";"11";"POTLB";"13";"K2O applied";"49";"13";"";"False";"";"Potash (K2O) applied , expressed in Pounds per treated acre"
"CROP";"11";"SOILTST";"5";"Soil tested for N,P2O5,K2O";"26";"5";"";"False";"";"Soil tested for N,P2O5,Potash (K2O) , expressed as a percent of planted acres"
"CROP";"12";"NITAC";"1";"Acres treated with N";"26";"1";"";"False";"";"Acres treated with Nitrogen (N) , expressed as a percent of planted acres"
"CROP";"12";"NITHOX1";"2";"No N broadcast";"28";"2";"2";"False";"";"No Nitrogen (N) broadcast , expressed in Percent of acres with Nitrogen (N)"
"CROP";"12";"NITHOX2";"3";"All N broadcast with incorp.";"28";"3";"2";"False";"";"All Nitrogen (N) broadcast with incorp. , expressed in Percent of acres with Nitrogen (N)"
"CROP";"12";"NITHOX3";"4";"All N broadcast without incorp.";"28";"4";"2";"False";"";"All Nitrogen (N) broadcast without incorp. , expressed in Percent of acres with Nitrogen (N)"
"CROP";"12";"NITHOX4";"5";"Mixed N application method, with incorp.";"28";"5";"2";"False";"";"Mixed Nitrogen (N) application method, with incorp. , expressed in Percent of acres with Nitrogen (N)"
"CROP";"12";"NITHOX5";"6";"Mixed N application method, without incorp.";"28";"6";"2";"False";"";"Mixed Nitrogen (N) application method, without incorp. , expressed in Percent of acres with Nitrogen (N)"
"CROP";"12";"PHOAC";"7";"Acres treated with P2O5";"26";"7";"";"False";"";"Acres treated with Phosphate (P2O5) , expressed as a percent of planted acres"
"CROP";"12";"PHOHOX1";"8";"No P2O5 broadcast";"29";"8";"2";"False";"";"No Phosphate (P2O5) broadcast , expressed in Percent of acres with P"
"CROP";"12";"PHOHOX2";"9";"All P2O5 broadcast with incorp.";"29";"9";"2";"False";"";"All Phosphate (P2O5) broadcast with incorp. , expressed in Percent of acres with P"
"CROP";"12";"PHOHOX3";"10";"All P2O5 broadcast without incorp.";"29";"10";"2";"False";"";"All Phosphate (P2O5) broadcast without incorp. , expressed in Percent of acres with P"
"CROP";"12";"PHOHOX4";"11";"Mixed P2O5 application method, with incorp.";"29";"11";"2";"False";"";"Mixed Phosphate (P2O5) application method, with incorp. , expressed in Percent of acres with P"
"CROP";"12";"PHOHOX5";"12";"Mixed P2O5 application method, without incorp.";"29";"12";"2";"False";"";"Mixed Phosphate (P2O5) application method, without incorp. , expressed in Percent of acres with P"
"CROP";"12";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"12";"POTAC";"13";"Acres treated with K2O";"26";"13";"";"False";"";"Acres treated with Potash (K2O) , expressed as a percent of planted acres"
"CROP";"12";"POTHOX1";"14";"No K2O broadcast";"30";"14";"2";"False";"";"No Potash (K2O) broadcast , expressed in Percent of acres with K"
"CROP";"12";"POTHOX2";"15";"All K2O broadcast with incorp.";"30";"15";"2";"False";"";"All Potash (K2O) broadcast with incorp. , expressed in Percent of acres with K"
"CROP";"12";"POTHOX3";"16";"All K2O broadcast without incorp.";"30";"16";"2";"False";"";"All Potash (K2O) broadcast without incorp. , expressed in Percent of acres with K"
"CROP";"12";"POTHOX4";"17";"Mixed K2O application method, with incorp.";"30";"17";"2";"False";"";"Mixed Potash (K2O) application method, with incorp. , expressed in Percent of acres with K"
"CROP";"12";"POTHOX5";"18";"Mixed K2O application method, without incorp.";"30";"18";"2";"False";"";"Mixed Potash (K2O) application method, without incorp. , expressed in Percent of acres with K"
"CROP";"13";"NITAC";"1";"Acres treated with N";"26";"1";"";"False";"";"Acres treated with Nitrogen (N) , expressed as a percent of planted acres"
"CROP";"13";"NITLB";"16";"N applied";"49";"16";"";"False";"";"Nitrogen (N) applied , expressed in Pounds per treated acre"
"CROP";"13";"NITLB1";"17";"N applied in Fall before planting";"49";"17";"";"False";"";"Nitrogen (N) in Fall before planting , expressed in Pounds per treated acre"
"CROP";"13";"NITLB2";"18";"N applied in Spring before planting";"49";"18";"";"False";"";"Nitrogen (N) in Spring before planting , expressed in Pounds per treated acre"
"CROP";"13";"NITLB3";"19";"N applied at planting";"49";"19";"";"False";"";"Nitrogen (N) at planting , expressed in Pounds per treated acre"
"CROP";"13";"NITLB4";"20";"N applied after planting";"49";"20";"";"False";"";"Nitrogen (N) after planting , expressed in Pounds per treated acre"
"CROP";"13";"NITWHN1";"2";"N in Fall before planting";"28";"2";"";"False";"";"Nitrogen (N) in Fall before planting , expressed in Percent of acres with Nitrogen (N)"
"CROP";"13";"NITWHN2";"3";"N in Spring before planting";"28";"3";"";"False";"";"Nitrogen (N) in Spring before planting , expressed in Percent of acres with Nitrogen (N)"
"CROP";"13";"NITWHN3";"4";"N at planting";"28";"4";"";"False";"";"Nitrogen (N) at planting , expressed in Percent of acres with Nitrogen (N)"
"CROP";"13";"NITWHN4";"5";"N after planting";"28";"5";"";"False";"";"Nitrogen (N) after planting , expressed in Percent of acres with Nitrogen (N)"
"CROP";"13";"PHOAC";"6";"Acres treated with P2O5";"26";"6";"";"False";"";"Acres treated with Phosphate (P2O5) , expressed as a percent of planted acres"
"CROP";"13";"PHOLB";"21";"P2O5 applied";"49";"21";"";"False";"";"Phosphate (P2O5) applied , expressed in Pounds per treated acre"
"CROP";"13";"PHOLB1";"22";"P2O5 applied in Fall before planting";"49";"22";"";"False";"";"Phosphate (P2O5) in Fall before planting , expressed in Pounds per treated acre"
