subject,Commodity,Class,DataType
"Horticulture, other",HORTICULTURE,OTHER,HORTICULTURE
Kale,GREENS,KALE,VEGETABLES
Kenaf,KENAF,ALL CLASSES,#N/A
Kiwifruit,KIWIFRUIT,ALL CLASSES,FRUIT & TREE NUTS
Kumquats,KUMQUATS,ALL CLASSES,#N/A
Lemons,LEMONS,ALL CLASSES,FRUIT & TREE NUTS
Lentils,LENTILS,ALL CLASSES,CROPS
Lespedeza seed,LESPEDEZA SEED,ALL CLASSES,CROPS
"Lettuce, head",LETTUCE,HEAD,CROPS
"Lettuce, other",LETTUCE,OTHER,CROPS
"Lettuce, romaine",LETTUCE,ROMAINE,CROPS
"Lima beans, dry",BEANS,"DRY EDIBLE, LIMA",CROPS
Limes,LIMES,ALL CLASSES,FRUIT & TREE NUTS
Loganberries,LOGANBERRIES,ALL CLASSES,FRUIT & TREE NUTS
Lotus root,LOTUS ROOT,ALL CLASSES,CROPS
Macadamia nuts,MACADAMIAS,ALL CLASSES,FRUIT & TREE NUTS
Mandarins,MANDARINS,ALL CLASSES,FRUIT & TREE NUTS
Mangoes,MANGOES,ALL CLASSES,FRUIT & TREE NUTS
Maple trees for syrup,MAPLE SYRUP,ALL CLASSES,CROPS
Meadow foam,MEADOW FOAM,ALL CLASSES,
"Melons, honeydew",MELONS,HONEYDEW,VEGETABLES
"Melons, miscellaneous",MELONS,MISCELLANEOUS,VEGETABLES
Millet,MILLET,PROSO,CROPS
"Mint, all",MINT,ALL CLASSES,CROPS
Mung beans,BEANS,MUNG,CROPS
Mushrooms,MUSHROOMS,ALL CLASSES,CROPS
Mustard cabbage,CABBAGE,MUSTARD,VEGETABLES
Mustard greens,GREENS,MUSTARD,VEGETABLES
Mustard seed,MUSTARD,ALL CLASSES,CROPS
Nectarines,NECTARINES,ALL CLASSES,FRUIT & TREE NUTS
"Noncitrus fruits, other",NON-CITRUS FRUIT & TREE NUTS TOTALS,ALL CLASSES,FRUIT & TREE NUTS
Nursery crops,NURSERY TOTALS,ALL CLASSES,CROPS
"Nuts, other","NUTS, OTHER",ALL CLASSES,FRUIT & TREE NUTS
Oats,OATS,ALL CLASSES,CROPS
Okra,OKRA,ALL CLASSES,VEGETABLES
Olives,OLIVES,ALL CLASSES,FRUIT & TREE NUTS
"Onions, dehydrated",ONIONS,"DRY, SPRING",VEGETABLES
"Onions, dry",ONIONS,DRY,VEGETABLES
"Onions, green",ONIONS,GREEN,VEGETABLES
"Oranges (all, except temples)",ORANGES,ALL EXCEPT TEMPLES,FRUIT & TREE NUTS
"Oranges, temples",ORANGES,TEMPLES,FRUIT & TREE NUTS
Orchard grass seed,ORCHARD GRASS SEED,ALL CLASSES,CROPS
Papayas,PAPAYAS,ALL CLASSES,FRUIT & TREE NUTS
Parsley,PARSLEY,ALL CLASSES,VEGETABLES
Passion fruit,PASSION FRUIT,ALL CLASSES,FRUIT & TREE NUTS
Peaches.,PEACHES,ALL CLASSES,FRUIT & TREE NUTS
Peanuts,PEANUTS,ALL CLASSES,CROPS
Pears,PEARS,ALL CLASSES,FRUIT & TREE NUTS
"Peas, all other","PEAS, ALL OTHER",ALL CLASSES,VEGETABLES
"Peas, Austrian winter",PEAS,AUSTRIAN WINTER,CROPS
"Peas, blackeye",PEAS,BLACKEYE,CROPS
"Peas, cowpeas",PEAS,COWPEAS,CROPS
"Peas, dry edible",PEAS,DRY EDIBLE,CROPS
Pecans,PECANS,ALL CLASSES,FRUIT & TREE NUTS
Peppermint,MINT,PEPPERMINT,CROPS
"Peppers, bell",PEPPERS,BELL,CROPS
"Peppers, hot",PEPPERS,HOT,CROPS
"Peppers, other",PEPPERS,OTHER,CROPS
Persimmons,PERSIMMONS,ALL CLASSES,
Pimentos,PIMIENTOS,ALL CLASSES,VEGETABLES
Pineapples,PINEAPPLES,ALL CLASSES,FRUIT & TREE NUTS
Pistachios,PISTACHIOS,ALL CLASSES,FRUIT & TREE NUTS
Plums,PLUMS,ALL CLASSES,FRUIT & TREE NUTS
Pomegranates,POMEGRANATES,ALL CLASSES,FRUIT & TREE NUTS
Popcorn,POPCORN,ALL CLASSES,CROPS
Potatoes,POTATOES,ALL CLASSES,VEGETABLES
Potted flowering plants,POTTED FLOWERING PLANTS,ALL CLASSES,HORTICULTURE
Prunes,PLUMS & PRUNES,ALL CLASSES,FRUIT & TREE NUTS
Pumpkins,PUMPKINS,ALL CLASSES,VEGETABLES
Radishes,RADISHES,ALL CLASSES,VEGETABLES
Rape seed,RAPESEED,ALL CLASSES,CROPS
Rapini,RAPINI,ALL CLASSES,
Raspberries,RASPBERRIES,ALL CLASSES,FRUIT & TREE NUTS
Redtop seed,REDTOP SEED,ALL CLASSES,CROPS
Rhubarb,RHUBARB,ALL CLASSES,VEGETABLES
Rice,RICE,ALL CLASSES,CROPS
"Rice, wild",RICE,WILD,CROPS
Rutabagas,RUTABAGAS,ALL CLASSES,VEGETABLES
Rye,RYE,ALL CLASSES,CROPS
Ryegrass seed,RYEGRASS SEED,ALL CLASSES,CROPS
Safflower,SAFFLOWER,ALL CLASSES,CROPS
Sage,SAGE,ALL CLASSES,VEGETABLES
Sesame,SESAME,ALL CLASSES,CROPS
Shallots,SHALLOTS,ALL CLASSES,VEGETABLES
Silage & haylage (except corn & sorghum),SILAGE & HAYLAGE (EXCEPT CORN & SORGHUM),ALL CLASSES,CROPS
Sod/turf grass,SOD,ALL CLASSES,CROPS
Sorghum,SORGHUM,ALL CLASSES,CROPS
Sorghum-sudan crosses,SORGHUM,SUDAN CROSSES,CROPS
"Sorghum, grain",SORGHUM,GRAIN,CROPS
"Sorghum, hay",SORGHUM,HAY,CROPS
"Sorghum, hogged",SORGHUM,HOGGED,CROPS
"Sorghum, molasses",SORGHUM,MOLASSES,CROPS
"Sorghum, silage",SORGHUM,SILAGE,CROPS
"Southern peas, cowpeas, etc","SOUTHERN PEAS, COWPEAS, ETC",ALL CLASSES,VEGETABLES
Soybeans,SOYBEANS,ALL CLASSES,CROPS
Spring wheat,WHEAT,"SPRING, (EXCL DURUM)",CROPS
"Squash, summer",SQUASH,SUMMER,VEGETABLES
"Squash, winter",SQUASH,WINTER,VEGETABLES
Strawberries,STRAWBERRIES,ALL CLASSES,CROPS
Sudan,SUDAN,ALL CLASSES,VEGETABLES
Sudan grass seed,SUDAN GRASS SEED,ALL CLASSES,CROPS
Sugarbeets,SUGARBEETS,ALL CLASSES,CROPS
Sugarbeets for seed,SUGARBEETS,SEED,CROPS
Sugarbeets for sugar,SUGARBEETS,SUGAR,CROPS
Sugarcane for seed,SUGARCANE,SEED,CROPS
Sugarcane for sugar,SUGARCANE,SUGAR,CROPS
Sunflowers,SUNFLOWER,ALL CLASSES,CROPS
Sweet clover seed,SWEET CLOVER SEED,ALL CLASSES,CROPS
Sweet corn for seed,SWEET CORN,ALL CLASSES,VEGETABLES
Sweet potatoes,SWEET POTATOES,ALL CLASSES,VEGETABLES
Tall fescue seed,TALL FESCUE SEED,ALL CLASSES,CROPS
Tangelos,TANGELOS,ALL CLASSES,FRUIT & TREE NUTS
Tangerines,TANGERINES,ALL CLASSES,FRUIT & TREE NUTS
Tangors,TANGORS,ALL CLASSES,FRUIT & TREE NUTS
Teff,TEFF,ALL CLASSES,
Timothy seed,TIMOTHY SEED,ALL CLASSES,CROPS
Tobacco transplants from beds,TOBACCO,TRANSPLANTS FROM BEDS,CROPS
"Tobacco, (other)",TOBACCO,OTHER,CROPS
"Tobacco, burley",TOBACCO,BURLEY,CROPS
"Tobacco, flue-cured",TOBACCO,FLUE-CURED,CROPS
Triticale,TRITICALE,ALL CLASSES,CROPS
Tungnuts,TUNGNUTS,ALL CLASSES,FRUIT & TREE NUTS
Turnip greens,GREENS,TURNIP,VEGETABLES
Turnips,TURNIPS,ALL CLASSES,VEGETABLES
"Vegetables, other","VEGETABLES, OTHER",ALL CLASSES,VEGETABLES
"Vegetables, seeds",VEGETABLE SEEDS,ALL CLASSES,CROPS
"Vetch seed, hairy","VETCH SEED, HAIRY",ALL CLASSES,CROPS
Walnuts,WALNUTS,ENGLISH,FRUIT & TREE NUTS
Watercress,WATERCRESS,ALL CLASSES,VEGETABLES
Watermelons,WATERMELONS,ALL CLASSES,FRUIT & TREE NUTS
Wheat,WHEAT,ALL CLASSES,CROPS
Wheatgrass seed,WHEATGRASS SEED,ALL CLASSES,CROPS
Winter wheat,WHEAT,WINTER,CROPS
